COD_CIUDAD_MUNI,NombreMun,NombreDep,MunDep,longitude,latitude
17877,Viterbo,Caldas,Viterbo Caldas,-75.87053056,5.062809489
76054,Argelia,Valle del Cauca,Argelia Valle del Cauca,-76.1209964,4.726956604
76246,El Cairo,Valle del Cauca,El Cairo Valle del Cauca,-76.22161412,4.760879685
76823,Toro,Valle del Cauca,Toro Valle del Cauca,-76.07795851,4.608657572
76147,Cartago,Valle del Cauca,Cartago Valle del Cauca,-75.91231443,4.730929701
76041,Ansermanuevo,Valle del Cauca,Ansermanuevo Valle del Cauca,-75.99294325,4.794328702
76243,El Águila,Valle del Cauca,El Águila Valle del Cauca,-76.04127464,4.909778485
76020,Alcalá,Valle del Cauca,Alcalá Valle del Cauca,-75.77989223,4.674010892
76845,Ulloa,Valle del Cauca,Ulloa Valle del Cauca,-75.73875491,4.702809111
66170,Dosquebradas,Risaralda,Dosquebradas Risaralda,-75.68183275,4.83694528
66075,Balboa,Risaralda,Balboa Risaralda,-75.95847399,4.949378451
66088,Belén de Umbría,Risaralda,Belén de Umbría Risaralda,-75.86851938,5.200764545
66318,Guática,Risaralda,Guática Risaralda,-75.7990847,5.315843652
66045,Apía,Risaralda,Apía Risaralda,-75.94164672,5.106370173
25269,Facatativá,Cundinamarca,Facatativá Cundinamarca,-74.35306195,4.818179697
25320,Guaduas,Cundinamarca,Guaduas Cundinamarca,-74.60344485,5.07243742
25328,Guayabal de Siquima,Cundinamarca,Guayabal de Siquima Cundinamarca,-74.46736127,4.877941091
25386,La Mesa,Cundinamarca,La Mesa Cundinamarca,-74.46127226,4.631284576
25394,La Palma,Cundinamarca,La Palma Cundinamarca,-74.39093944,5.35891484
25398,La Peña,Cundinamarca,La Peña Cundinamarca,-74.3941043,5.198824528
25402,La Vega,Cundinamarca,La Vega Cundinamarca,-74.33738648,4.997826878
25797,Tena,Cundinamarca,Tena Cundinamarca,-74.38933519,4.655348037
25019,Albán,Cundinamarca,Albán Cundinamarca,-74.43831345,4.877954669
25489,Nimaima,Cundinamarca,Nimaima Cundinamarca,-74.38664001,5.125521094
25491,Nocaima,Cundinamarca,Nocaima Cundinamarca,-74.37894298,5.069574157
25572,Puerto Salgar,Cundinamarca,Puerto Salgar Cundinamarca,-74.65422169,5.465015206
25580,Pulí,Cundinamarca,Pulí Cundinamarca,-74.71422676,4.681872028
